timestamp,state,energy,gripper_step
6.208,CONTACT,0.024505,0
6.241,CONTACT,0.024417,0
6.275,CONTACT,0.024543,0
6.308,CONTACT,0.024469,0
6.342,CONTACT,0.024443,0
6.375,CONTACT,0.024503,0
6.408,CONTACT,0.024459,0
6.442,CONTACT,0.024489,0
6.475,CONTACT,0.024483,0
6.508,CONTACT,0.024420,0
6.542,CONTACT,0.024481,0
6.575,CONTACT,0.024447,0
6.608,CONTACT,0.024384,0
6.641,CONTACT,0.024464,0
6.675,CONTACT,0.024427,0
6.710,CONTACT,0.024352,0
6.742,CONTACT,0.024469,0
6.775,CONTACT,0.024375,0
6.808,CONTACT,0.024505,0
6.842,CONTACT,0.024423,0
6.875,CONTACT,0.024367,0
6.908,CONTACT,0.024412,0
6.942,CONTACT,0.024414,0
6.975,CONTACT,0.024404,0
7.008,CONTACT,0.024434,0
7.042,CONTACT,0.024433,0
7.075,CONTACT,0.024421,0
7.108,CONTACT,0.024461,0
7.142,CONTACT,0.024473,0
7.175,CONTACT,0.024375,0
7.208,CONTACT,0.024442,0
7.242,CONTACT,0.024461,0
7.275,CONTACT,0.024388,0
7.308,CONTACT,0.024394,0
7.342,CONTACT,0.024462,0
7.375,CONTACT,0.024367,0
7.408,CONTACT,0.024405,0
7.442,CONTACT,0.024484,0
7.475,CONTACT,0.024365,0
7.508,CONTACT,0.024469,0
7.542,CONTACT,0.024502,0
7.575,CONTACT,0.024328,0
7.608,CONTACT,0.024485,0
7.642,CONTACT,0.024475,0
7.675,CONTACT,0.024380,0
7.708,CONTACT,0.024429,0
7.742,CONTACT,0.024419,0
7.775,CONTACT,0.024470,0
7.808,CONTACT,0.024434,0
7.842,CONTACT,0.024445,0
7.875,CONTACT,0.024495,0
7.908,CONTACT,0.024439,0
7.941,CONTACT,0.024441,0
7.975,CONTACT,0.024484,0
8.008,CONTACT,0.024415,0
8.042,CONTACT,0.024504,0
8.075,CONTACT,0.024422,0
8.108,CONTACT,0.024475,0
8.142,CONTACT,0.024460,0
8.175,CONTACT,0.024440,0
8.208,CONTACT,0.024398,0
8.242,CONTACT,0.024462,0
8.275,CONTACT,0.024349,0
8.308,CONTACT,0.024455,0
8.342,CONTACT,0.024378,0
8.375,CONTACT,0.024341,0
8.408,CONTACT,0.024420,0
8.441,CONTACT,0.024321,0
8.475,CONTACT,0.024311,0
8.508,CONTACT,0.024304,0
8.541,CONTACT,0.024338,0
8.575,CONTACT,0.024308,0
8.608,CONTACT,0.024335,0
8.641,CONTACT,0.024306,0
8.675,CONTACT,0.024303,0
8.708,CONTACT,0.024275,0
8.741,CONTACT,0.024275,0
8.775,CONTACT,0.024275,0
8.808,CONTACT,0.024374,0
8.841,CONTACT,0.024366,0
8.875,CONTACT,0.024296,0
8.908,CONTACT,0.024290,0
8.941,CONTACT,0.024368,0
8.975,CONTACT,0.024278,0
9.008,CONTACT,0.024278,0
9.041,CONTACT,0.024278,0
9.075,CONTACT,0.024370,0
9.108,CONTACT,0.024308,0
